desa_id,kecamatan_id,kabupaten_id,province_id,latitude,longitude,bank_name,bank_id,access_point_type,2_g,3_g,4_g
3201210012,3201210,3201,32,-6.46349,106.85677,Bank Mega,426,ATM Carrefour Cibinong,,,
3201140001,3201140,3201,32,-6.6119699999999995,106.88895,Mandiri,8,STIN,,,
3201210004,3201210,3201,32,-6.49014,106.85618999999998,Bank Muamalat,147,ATM - KK CIBINONG,,,
3201210005,3201210,3201,32,-6.485580000000001,106.83997,Mandiri,8,BGR CB KCP CIBINONG CITY,,,
3201210005,3201210,3201,32,-6.48586,106.84034,BCA,14,KK Cibinong City Center 1,,,
3201210011,3201210,3201,32,-6.46988,106.85264,Mandiri,8,Ramayana Cibinong,,,
3201180018,3201180,3201,32,-6.39763,106.95889,BCA,14,Cileungsi 1,,,
3201200012,3201200,3201,32,-6.47372,106.90033000000001,Mandiri,8,Pabrik Indocement,,,
3201200012,3201200,3201,32,-6.47372,106.90033000000001,Mandiri,8,Pabrik Indocement,,,
3201200012,3201200,3201,32,-6.47372,106.90033000000001,Mandiri,8,Pabrik Indocement,,,
3271050010,3271050,3271,32,-6.57265,106.74297,BCA,14,Alfamart Darmaga,,,
3201071001,3201071,3201,32,-6.65875,106.72922,Mandiri,8,High Land Park Resort Ciapus,,,
3201200001,3201200,3201,32,-6.5258,106.87366999999999,Mandiri,8,PMPP Sentul,,,
3201120007,3201120,3201,32,-6.66643,106.8738,Mandiri,8,Pusdik Reskrim Megamendung,,,
3201190006,3201190,3201,32,-6.40573,106.93943999999999,Mandiri,8,Legenda Wisata,,,
3201200010,3201200,3201,32,-6.50465,106.88747,Mandiri,8,Indomaret Tarikolot,,,
3271040007,3271040,3271,32,-6.59513,106.79198999999998,BRI,2,KC BRI BOGOR,,,
3201100003,3201100,3201,32,-6.7124,106.89455,Mandiri,8,Drive Thru Rest Area Tol Jagorawi Km.,,,
3271020006,3271020,3271,32,-6.6215399999999995,106.81748999999999,Bank Nationalnobu,503,Bogor - Ekalokasari 2,,,
3271020005,3271020,3271,32,-6.60545,106.80827,BCA,14,Puri Begawan,,,
3271020005,3271020,3271,32,-6.61263,106.81343000000001,Bank Commonwealth,950,Bogor,,,
3271040005,3271040,3271,32,-6.59518,106.80532,Bank Nationalnobu,503,Bogor - Keboen Raya,,,
3271040004,3271040,3271,32,-6.60295,106.80633999999999,Mandiri,8,Giant Botani Square,,,
3276040012,3276040,3276,32,-6.36906,106.86003000000001,Bank Pan Indonesia,19,ATM Giant Cimanggis,,,
3201140006,3201140,3201,32,-6.56755,106.85547,Bank Pan Indonesia,19,Giant Sentul City Bogor,,,
3201190007,3201190,3201,32,-6.39537,106.93782,BRI Syariah,422,Giant Supermarket Cikeas,,,
3201070012,3201070,3201,32,-6.60187,106.77323,Mandiri,8,Bogor Ciomas,,,
3271060008,3271060,3271,32,-6.55012,106.78206000000002,CIMB Niaga,22,BGR.Indomaret Bukit Cimanggu City (FYF6),,,
3201100011,3201100,3201,32,-6.656969999999999,106.84794,Mandiri,8,Kantor Pos Ciawi,,,
3276020011,3276020,3276,32,-6.39349,106.82348,OCBC NISP,28,KCP DEPOK - ITC DEPOK,,,
3271060005,3271060,3271,32,-6.56088,106.79213,BRI Syariah,422,UNIVERSTITAS?IBNU?KHALDUN?BOGOR,,,
3201210011,3201210,3201,32,-6.4743699999999995,106.86313,Bank Sinarmas,153,KK�Bogor�-�Cibinong,,,
3201020018,3201020,3201,32,-6.57487,106.63378999999999,Bank Sinarmas,153,KK�Leuwiliang�Bogor,,,
3201180017,3201180,3201,32,-6.4069199999999995,106.9623,Bank Sinarmas,153,KK�Cileungsi�Bogor,,,
3201110006,3201110,3201,32,-6.67938,106.93177,Bank Sinarmas,153,KK�Cisarua�-�Bogor,,,
3271030001,3271030,3271,32,-6.581460000000001,106.80706,Mandiri,8,Plaza Jambu,,,
3271030002,3271030,3271,32,-6.582839999999999,106.81748,BPD Jawa Barat Dan Banten,110,KK Bogor Utara,,,
3271030002,3271030,3271,32,-6.582839999999999,106.81748,BPD Jawa Barat Dan Banten,110,ATM KK BOGOR UTARA,,,
3271060004,3271060,3271,32,-6.57075,106.80641999999999,BPD Jawa Barat Dan Banten,110,ATM KK BPN,,,
3271060004,3271060,3271,32,-6.57075,106.80641999999999,BPD Jawa Barat Dan Banten,110,KK BPN,,,
3201130009,3201130,3201,32,-6.521,106.84,Mandiri,8,SPBU 34-16712 Muhajir alternatif sentul,,,
