id;total_population;total_male;total_female;potential_population
3326;884670;439446;445225;
3327;1295367;640662;654705;
3328;1432487;711719;720768;
3329;1794228;901713;892515;
3371;121383;59716;61667;
3372;515621;250684;264937;
3373;188299;92124;96175;
3374;1750498;858520;891978;
3375;301207;150581;150626;
3376;247874;122726;125149;
3401;420138;206648;213490;325985
3402;992320;496465;495855;767262
3403;727639;351092;376547;571488
3404;1190243;600561;589682;934103
3471;421480;205701;215779;340387
3501;553120;269630;283490;
3502;869627;434630;434997;
3503;692654;344161;348493;
3504;1029620;502252;527368;
3505;1152782;577430;575352;
3506;1559643;782647;776996;
3507;2572615;1292862;1279753;
3508;1036045;505790;530255;
3509;2427393;1192772;1234621;
3510;1603630;797870;805760;
3511;767959;374102;393857;
3512;675848;329619;346229;
3513;1153413;562696;590717;
3514;1602399;793793;808606;
3515;2175342;1092802;1082540;
3516;1097143;547940;549203;
3517;1251637;622636;629001;
3518;1047946;520924;527022;
3519;679416;335285;344131;
3520;628455;305979;322476;
3521;829797;405783;424015;
3522;1243028;614163;628865;
3523;1162306;574049;588257;
3524;1188411;577197;611214;
3525;1281429;635443;645986;
3526;968861;462448;506413;
3527;955457;464630;490827;
3528;860796;418539;442257;
3529;1080107;513122;566986;
3571;283496;141315;142181;
3572;139776;69309;70467;
3573;860163;424139;436024;
3574;232620;114537;118083;
3575;197322;97825;99497;
3576;127060;62484;64576;
3577;175977;85119;90858;
3578;2871630;1418514;1453116;
3579;203577;102245;101332;
3601;1204045;614799;589246;
3602;1285942;658791;627151;
3603;3557692;1819308;1738384;
3604;1491334;756147;735187;
3671;2128279;1085993;1042286;
3672;423500;216186;207314;
3673;663691;340214;323477;
3674;1631998;822220;809778;
5101;274534;135984;138550;
5102;440399;218857;221542;
5103;640086;327000;313086;
5104;502820;253884;248936;
5105;177206;87621;89585;
5106;224777;113660;111117;
5107;412319;206254;206065;
5108;652724;325150;327574;
5171;910010;464530;445480;
5201;672688;328731;343957;474716
5202;928616;439196;489420;657460
5203;1180846;549775;631071;821042
5204;448634;228881;219753;318082
5205;244509;123376;121133;160716
5206;477695;237857;239838;321823
5207;139927;70942;68985;97025
5208;215984;106085;109900;150908
5271;466195;230603;235592;343772
5272;165575;81370;84205;118701
5301;125309;64900;60409;
5302;251929;129033;122896;
5303;368103;188576;179527;
5304;463408;227640;235768;
5305;249088;123337;125751;
5306;212771;106362;106409;
5307;202547;98279;104268;
5308;136923;64507;72416;
5309;250931;119991;130940;
5310;316840;150150;166690;
5311;271787;128885;142902;
5312;158333;77293;81040;
5313;327897;160333;167564;
5314;158140;80430;77710;
5315;261792;129697;132096;
5316;70440;36373;34067;
5317;330338;169423;160915;
5318;142431;69135;73296;
5319;279242;137908;141334;
5320;90834;46474;44360;
