BPS_ID#;KECAMATAN NAME;2010_male;2010_female;2010_total;2015_male;2015_female;2015_total;2015_adult;poverty_rupiah;poverty_people;poverty_percent;electricty_percent
9435050;Biandoga;2591;2496;5087;2629;2532;5161;3338;501749;2122;41,12;0
9435030;Hitadipa;2227;2198;4425;2864;2757;5621;3635;501749;2311;41,11;0
9435010;Homeyo;6220;5628;11848;6149;5921;12069;7805;501749;4962;41,11;1,73
9435020;Sugapa;4780;4748;9528;7555;7275;14831;9590;501749;6097;41,11;0,5
9435060;Wandai;1999;1972;3971;1722;1658;3381;2186;501749;1390;41,11;0,71
9403081;Airu;498;399;897;545;447;992;708;454989;1422;143,35;69,23
9403200;Demta;1674;1452;3126;1796;1606;3402;2430;454989;714;20,99;90,19
9403210;Depapre;1975;1809;3784;2127;1992;4119;2942;454989;767;18,62;77,02
9403231;Ebungfau;1248;1195;2443;1353;1321;2675;1910;454989;738;27,59;66,62
9403151;Gresi Selatan;444;441;885;481;489;970;693;454989;502;51,75;90,57
9403080;Kaureh;3589;2576;6165;3828;2836;6665;4760;454989;1278;19,17;12,66
9403140;Kemtuk;1771;1754;3525;1914;1936;3850;2750;454989;1521;39,51;88,91
9403150;Kemtuk Gresi;2030;2005;4035;2197;2222;4418;3155;454989;1667;37,73;94,13
9403170;Nimbokrang;3327;2996;6323;3550;3252;6801;4857;454989;857;12,6;98,65
9403160;Nimboran;2100;1904;4004;2247;2086;4333;3095;454989;1116;25,76;99,4
9403161;Nimboran Timur / Namblong;1539;1417;2956;1648;1551;3199;2284;454989;435;13,6;97,15
9403211;Ravenirara;568;535;1103;614;599;1213;866;454989;712;58,7;100
9403230;Sentani;24093;20686;44779;25749;22568;48317;34508;454989;1723;3,57;99,68
9403220;Sentani Barat;2172;1976;4148;2319;2152;4471;3193;454989;280;6,26;99,61
9403240;Sentani Timur;3655;3627;7282;3915;3928;7843;5602;454989;1661;21,18;96,12
9403180;Unurum Guay;1048;881;1929;1125;970;2095;1496;454989;822;39,24;68,12
9403221;Waibu;3667;3306;6973;3954;3660;7614;5438;454989;760;9,98;97,2
9403082;Yapsi;3105;2604;5709;3294;2845;6140;4385;454989;632;10,29;95,28
9403201;Yokari;1024;853;1877;1105;946;2051;1465;454989;622;30,33;52,14
9402180;Asologaima;18495;19040;37535;2931;3185;6116;4602;349878;3072;50,23;8,67
9402111;Asolokobal;7704;7645;15349;1664;1665;3328;2505;349878;739;22,21;42,57
9402118;ASOTIPO;;;;2394;2500;4894;3683;349878;2033;41,54;36,45
9402220;Bolakme;3580;3595;7175;1135;1211;2345;1765;349878;1059;45,16;28,24
9402227;BPIRI;;;;585;570;1155;869;349878;1114;96,45;15,49
9402226;BUGI;;;;440;419;859;647;349878;841;97,9;29,96
9402124;HUBIKIAK;;;;3920;3229;7149;5379;349878;2701;37,78;52,99
9402120;Hubikosi;9325;8160;17485;3669;3465;7134;5368;349878;3770;52,85;4,01
9402122;IBELE;;;;3908;3822;7731;5817;349878;3865;49,99;0,77
9402613;ITLAY HASIGE;;;;3013;3296;6309;4747;349878;1965;31,15;9,86
9402228;KORAGI;;;;414;373;787;593;349878;1035;131,51;11,81
9402190;Kurulu;11858;12874;24732;4473;4771;9244;6956;349878;3610;39,05;57,19
9402193;LIBAREK;;;;1037;1072;2109;1587;349878;2619;124,18;28,86
9402119;MAIMA;;;;1637;1654;3290;2476;349878;678;20,61;12,76
9402224;MOLAGALOME;;;;621;652;1272;957;349878;988;77,67;20,63
9402184;MULIAMA;;;;3884;4054;7938;5973;349878;6723;84,69;2,26
9402181;Musatfak;3668;3541;7209;3760;3638;7397;5566;349878;2963;40,06;0
9402114;NAPUA;;;;1410;1373;2783;2094;349878;249;8,95;53,34
9402121;Pelebaga;5318;4902;10220;3591;3108;6699;5041;349878;2231;33,3;1,43
9402195;PISUGI;;;;1813;2269;4082;3071;349878;1025;25,11;36,94
9402614;POPUGOBA;;;;988;990;1978;1488;349878;3497;176,79;0
9402183;PYRAMID;;;;6191;6032;12223;9197;349878;4975;40,7;8,74
9402612;SIEPKOSI;;;;1769;1769;3538;2662;349878;1332;37,65;38,16
9402182;SILO KARNO DOGA;;;;4088;4474;8562;6443;349878;4311;50,35;1,96
9402223;TAGIME;;;;1042;1055;2097;1578;349878;797;38,01;34,38
9402225;TAGINERI;;;;949;915;1864;1403;349878;1607;86,21;30,98
9402123;TAILAREK;;;;1618;1337;2955;2224;349878;6644;224,84;1,95
9402113;TRIKORA;;;;3181;2628;5808;4371;349878;0;0;0
9402191;USILIMO;;;;2635;2929;5564;4187;349878;1706;30,66;12,04
9402194;WADANGKU;;;;1103;1028;2131;1603;349878;2122;99,58;2,39
9402115;WALAIK;;;;1801;1852;3654;2749;349878;0;0;0
9402112;Walelagama;5479;5702;11181;912;948;1860;1400;349878;504;27,1;58,52
9402117;WALESI;;;;1338;1364;2703;2034;349878;749;27,71;66,61
9402185;WAME;;;;2009;2112;4121;3101;349878;0;0;3,99
9402110;Wamena;33096;26791;59887;21784;17315;39099;29420;349878;1481;3,79;94,36
9402611;WESAPUT;;;;3324;2881;6206;4670;349878;412;6,64;79,52
9402192;WITA WAYA;;;;1263;1499;2763;2079;349878;3228;116,83;34,6
9402221;Wollo;1536;1532;3068;578;635;1213;912;349878;1798;148,23;59,93
9402116;WOUMA;;;;1744;1627;3370;2536;349878;1080;32,05;85,79
9402222;Yalengga;1158;1086;2244;797;780;1578;1187;349878;1597;101,2;10,03
9420040;Arso;11020;9194;20214;11996;10337;22332;15267;460199;2208;9,89;96,89
9420041;Arso Timur;2719;2047;4766;2957;2328;5287;3615;460199;1060;20,05;74,64
9420020;Senggi;1597;1140;2737;1754;1275;3032;2073;460199;758;25;19,57
9420050;Skanto;6962;6025;12987;7547;6761;14304;9779;460199;1571;10,98;97,42
9420011;Towe;1277;1063;2340;1361;1173;2535;1733;460199;818;32,27;20,27
9420030;Waris;1577;1475;3052;1730;1653;3381;2312;460199;1125;33,27;82,67
9420010;Web;1374;1066;2440;1492;1222;2715;1856;460199;920;33,89;28,43
9408050;Angkaisera;4133;3913;8046;4503;4347;8850;5963;512934;3410;38,53;61,84
9408051;Kepulauan Ambai;1902;1754;3656;2075;1957;4032;2716;512934;2770;68,7;56,77
9408061;Kosiwo;1939;1842;3781;2127;2049;4176;2813;512934;1751;41,93;56,4
9408041;PANTURA YAPEN;;;;1332;1223;2555;1721;512934;1175;45,99;40,32
9408080;Poom;1579;1549;3128;1722;1721;3442;2319;512934;1289;37,45;26,76
