desa_id,kecamatan_id,kabupaten_id,province_id,latitude,longitude,bank_name,bank_id,access_point_type,2_g,3_g,4_g
6474010003,6474010,6474,64,0.1105402,117.4840384,BPD Kalimantan Timur,124,ATM,1,1,1
6474020004,6474020,6474,64,0.1335189,117.4763041,BPD Kalimantan Timur,124,ATM,1,1,1
6405060008,6405060,6405,64,2.1401979,117.4993069,BPD Kalimantan Timur,124,ATM,1,1,1
6405040004,6405040,6405,64,2.2839296,118.2466191,BPD Kalimantan Timur,124,ATM,1,1,1
6404040016,6404040,6404,64,0.5177082,117.5337717,BPD Kalimantan Timur,124,ATM,1,1,1
6472031001,6472031,6472,64,-0.556247,117.086492,BPD Kalimantan Timur,124,ATM,1,1,1
6403080011,6403080,6403,64,-0.2659511,116.5852145,BPD Kalimantan Timur,124,ATM,1,1,1
6404040012,6404040,6404,64,0.514415,117.5474155,BPD Kalimantan Timur,124,ATM,1,1,1
6472050006,6472050,6472,64,-0.474616,117.145077,BPD Kalimantan Timur,124,ATM,1,1,1
6404040012,6404040,6404,64,0.5023279,117.533614,BPD Kalimantan Timur,124,ATM,1,1,1
6472050007,6472050,6472,64,-0.4721375,117.1378938,BPD Kalimantan Timur,124,ATM,1,1,1
6472050008,6472050,6472,64,-0.477085,117.1236539,BPD Kalimantan Timur,124,ATM,1,1,1
6472020014,6472020,6472,64,-0.4905989,117.15758,BPD Kalimantan Timur,124,ATM,1,1,1
6472021002,6472021,6472,64,-0.5004214,117.1475936,BPD Kalimantan Timur,124,ATM,1,1,1
6471011004,6471011,6471,64,-1.276775,116.8374069,BPD Kalimantan Timur,124,ATM,1,1,1
6471010010,6471010,6471,64,-1.2525117,116.8707861,BPD Kalimantan Timur,124,ATM,1,1,1
6404040012,6404040,6404,64,0.5099747,117.5355869,BPD Kalimantan Timur,124,ATM,1,1,1
6404040018,6404040,6404,64,0.5394644,117.5127533,BPD Kalimantan Timur,124,ATM,1,1,1
6404040016,6404040,6404,64,0.5323548,117.5655391,BPD Kalimantan Timur,124,ATM,1,1,1
6471011004,6471011,6471,64,-1.2638245,116.8464409,BPD Kalimantan Timur,124,ATM,1,1,1
6405080011,6405080,6405,64,2.1837956,117.1156572,BPD Kalimantan Timur,124,ATM,1,1,1
6403050007,6403050,6403,64,-0.460789,117.006691,BPD Kalimantan Timur,124,ATM,1,1,1
6409020004,6409020,6409,64,-1.2917094,116.5137964,BPD Kalimantan Timur,124,ATM,1,,
6405040004,6405040,6405,64,2.2839296,118.2466191,BPD Kalimantan Timur,124,ATM,1,1,1
6403090003,6403090,6403,64,-0.4421414,116.9993179,BPD Kalimantan Timur,124,ATM,1,1,1
6405090006,6405090,6405,64,2.028868,117.291125,BPD Kalimantan Timur,124,ATM,1,1,1
6405090001,6405090,6405,64,2.1558417,117.4270386,BPD Kalimantan Timur,124,ATM,1,1,1
6404040012,6404040,6404,64,0.4903924,117.5420106,BPD Kalimantan Timur,124,ATM,1,1,1
6404040016,6404040,6404,64,0.5323548,117.5655391,BPD Kalimantan Timur,124,ATM,1,1,1
6472010004,6472010,6472,64,-0.574916,117.205936,BPD Kalimantan Timur,124,ATM,1,1,1
6404050001,6404050,6404,64,0.775,117.991386,BPD Kalimantan Timur,124,ATM,1,1,1
6472060005,6472060,6472,64,-0.457466,117.15142,BPD Kalimantan Timur,124,ATM,1,1,1
6405100004,6405100,6405,64,1.2512362,118.3408977,BPD Kalimantan Timur,124,ATM,1,1,1
6404040012,6404040,6404,64,0.5059344,117.5350836,BPD Kalimantan Timur,124,ATM,1,1,1
6472061003,6472061,6472,64,-0.4623384,117.1757515,BPD Kalimantan Timur,124,ATM,1,1,1
6472022004,6472022,6472,64,-0.5070962,117.1664486,BPD Kalimantan Timur,124,ATM,1,1,1
6472040003,6472040,6472,64,-0.5253241,117.1158236,BPD Kalimantan Timur,124,ATM,1,1,1
6472031002,6472031,6472,64,-0.572287,117.08754,BPD Kalimantan Timur,124,ATM,1,1,1
6472040003,6472040,6472,64,-0.5253241,117.1158236,BPD Kalimantan Timur,124,ATM,1,1,1
6472040003,6472040,6472,64,-0.5253241,117.1158236,BPD Kalimantan Timur,124,ATM,1,1,1
6405100004,6405100,6405,64,1.3702929,118.4270244,BPD Kalimantan Timur,124,Kantor Cabang Pembantu,1,,
6472040003,6472040,6472,64,-0.5253241,117.1158236,BPD Kalimantan Timur,124,ATM,1,1,1
6405060004,6405060,6405,64,2.1421894,117.4893808,BPD Kalimantan Timur,124,ATM,1,1,1
6405100004,6405100,6405,64,1.3702929,118.4270244,BPD Kalimantan Timur,124,ATM,1,,
6405030002,6405030,6405,64,1.2553404,118.7030639,BPD Kalimantan Timur,124,Kantor Kas,1,1,1
6471011001,6471011,6471,64,-1.2728874,116.8055594,BPD Kalimantan Timur,124,ATM,1,1,1
6401030004,6401030,6401,64,-1.936001,116.1763779,BPD Kalimantan Timur,124,Kantor Kas,1,1,1
6401030004,6401030,6401,64,-1.936001,116.1763779,BPD Kalimantan Timur,124,ATM,1,1,1
6472031002,6472031,6472,64,-0.572213,117.087474,BPD Kalimantan Timur,124,ATM,1,1,1
6472060011,6472060,6472,64,-0.4300046,117.1577899,BPD Kalimantan Timur,124,Kantor Kas,1,1,1
6472061002,6472061,6472,64,-0.4866354,117.155245,BPD Kalimantan Timur,124,Kantor Kas,1,1,1
6404041001,6404041,6404,64,0.754731,117.5571707,BPD Kalimantan Timur,124,ATM,1,1,1
6472040003,6472040,6472,64,-0.5253241,117.1158236,BPD Kalimantan Timur,124,ATM,1,1,1
6401040003,6401040,6401,64,-1.8734707,116.1786751,BPD Kalimantan Timur,124,ATM,1,1,1
6404030003,6404030,6404,64,0.4338318,116.7156621,BPD Kalimantan Timur,124,ATM,1,1,1
6472050008,6472050,6472,64,-0.472846,117.124798,BPD Kalimantan Timur,124,ATM,1,1,1
6403090003,6403090,6403,64,-0.438446,116.988417,BPD Kalimantan Timur,124,ATM,1,1,1
6472060005,6472060,6472,64,-0.4566863,117.1519529,Maybank,16,ATM,1,1,1
6403150018,6403150,6403,64,0.0332708,116.9381434,Maybank,16,ATM,1,1,1
6403150018,6403150,6403,64,0.0332708,116.9381434,Maybank,16,ATM,1,1,1
6471020002,6471020,6471,64,-1.22356,116.964507,Maybank,16,ATM,1,1,1
6471010008,6471010,6471,64,-1.2561914,116.871183,Maybank,16,ATM,1,1,1
6472050008,6472050,6472,64,-0.4867307,117.1266083,Maybank,16,ATM,1,1,1
6474020004,6474020,6474,64,0.1339289,117.4778825,Maybank,16,Kantor Cabang Pembantu,1,1,1
6471010008,6471010,6471,64,-1.2432106,116.8615934,Maybank,16,ATM,1,1,1
6471011004,6471011,6471,64,-1.2749405,116.8378859,Maybank,16,ATM,1,1,1
6472050004,6472050,6472,64,-0.4844985,117.1485235,Maybank,16,Kantor Cabang Pembantu,1,1,1
6471011005,6471011,6471,64,-1.271794,116.853426,Maybank,16,Kantor Cabang Pembantu,1,1,1
6472050007,6472050,6472,64,-0.4800082,117.134416,Maybank,16,ATM,1,1,1
6471010006,6471010,6471,64,-1.2438284,116.8720346,Maybank,16,Kantor Cabang Pembantu,1,1,1
6471050002,6471050,6471,64,-1.2351819,116.8240606,Maybank,16,Kantor Cabang Pembantu,1,1,1
6472021003,6472021,6472,64,-0.502243,117.151153,Maybank,16,ATM,1,1,1
6471050002,6471050,6471,64,-1.2348685,116.8228325,Maybank,16,ATM,1,1,1
6472021002,6472021,6472,64,-0.501843,117.1471344,Maybank,16,Kantor Cabang,1,1,1
6471011004,6471011,6471,64,-1.2749147,116.8380748,Maybank,16,ATM,1,1,1
6471011004,6471011,6471,64,-1.2749147,116.8380748,Maybank,16,ATM,1,1,1
6471040001,6471040,6471,64,-1.2695457,116.8377211,Maybank,16,Kantor Cabang,1,1,1
6471010006,6471010,6471,64,-1.2419181,116.873207,Maybank,16,ATM,1,1,1
6471010009,6471010,6471,64,-1.2746908,116.8577904,Maybank,16,ATM,1,1,1
6472021005,6472021,6472,64,-0.5035538,117.1552135,Maybank,16,ATM,1,1,1
6471011005,6471011,6471,64,-1.260441,116.865325,Maybank,16,ATM,1,1,1
6472050004,6472050,6472,64,-0.4844985,117.1485235,Maybank,16,ATM,1,1,1
6471011003,6471011,6471,64,-1.2764971,116.8249353,Maybank,16,ATM,1,1,1
6471010006,6471010,6471,64,-1.2438284,116.8720346,Maybank,16,ATM,1,1,1
6472021003,6472021,6472,64,-0.502243,117.151153,Maybank,16,ATM,1,1,1
